{'order_id': 'o_00001', 'customer_id': 'u_3802013660', 'product_id': '1677770', 'create_time': '2023-07-14 00:25:52'}
{'order_id': 'o_00002', 'customer_id': 'u_3802013660', 'product_id': '1368849', 'create_time': '2023-12-17 08:18:01'}
{'order_id': 'o_00003', 'customer_id': 'u_3802013660', 'product_id': '1365274', 'create_time': '2023-02-16 12:15:57'}
{'order_id': 'o_00004', 'customer_id': 'u_3802013660', 'product_id': '1311164', 'create_time': '2023-06-19 17:34:07'}
{'order_id': 'o_00005', 'customer_id': 'u_3802013660', 'product_id': '1382233', 'create_time': '2023-06-07 08:59:25'}
{'order_id': 'o_00006', 'customer_id': 'u_3802013660', 'product_id': '1694817', 'create_time': '2023-07-10 08:01:07'}
{'order_id': 'o_00007', 'customer_id': 'u_3802013660', 'product_id': '1537393', 'create_time': '2023-08-18 22:33:09'}
{'order_id': 'o_00008', 'customer_id': 'u_3802013660', 'product_id': '1620464', 'create_time': '2023-04-22 09:36:13'}
{'order_id': 'o_00009', 'customer_id': 'u_3802013660', 'product_id': '1536185', 'create_time': '2023-02-09 16:20:18'}
{'order_id': 'o_00011', 'customer_id': 'u_3802013660', 'product_id': '1291333', 'create_time': '2023-10-12 15:12:38'}
{'order_id': 'o_00012', 'customer_id': 'u_3802013660', 'product_id': '1567036', 'create_time': '2023-01-18 04:01:45'}
{'order_id': 'o_00013', 'customer_id': 'u_3802013660', 'product_id': '1681727', 'create_time': '2023-04-16 21:28:47'}
{'order_id': 'o_00014', 'customer_id': 'u_3802013660', 'product_id': '1451718', 'create_time': '2023-05-07 10:40:27'}
{'order_id': 'o_00015', 'customer_id': 'u_3802013660', 'product_id': '1096164', 'create_time': '2023-07-26 20:07:49'}
{'order_id': 'o_00016', 'customer_id': 'u_3802013660', 'product_id': '1519988', 'create_time': '2023-01-10 02:11:12'}
{'order_id': 'o_00017', 'customer_id': 'u_3802013660', 'product_id': '1531401', 'create_time': '2023-09-08 13:59:58'}
{'order_id': 'o_00018', 'customer_id': 'u_3802013660', 'product_id': '1364272', 'create_time': '2023-01-22 02:19:06'}
{'order_id': 'o_00019', 'customer_id': 'u_3802013660', 'product_id': '1398551', 'create_time': '2023-08-13 10:49:10'}
{'order_id': 'o_00020', 'customer_id': 'u_3802013660', 'product_id': '1403997', 'create_time': '2023-06-04 22:24:10'}
{'order_id': 'o_00021', 'customer_id': 'u_3802013660', 'product_id': '1360418', 'create_time': '2023-06-21 22:58:20'}
{'order_id': 'o_00022', 'customer_id': 'u_3802013660', 'product_id': '1321533', 'create_time': '2023-06-08 12:22:14'}
{'order_id': 'o_00023', 'customer_id': 'u_3802013660', 'product_id': '1204267', 'create_time': '2023-10-22 05:17:30'}
{'order_id': 'o_00024', 'customer_id': 'u_3802013660', 'product_id': '1313935', 'create_time': '2023-01-13 02:52:15'}
{'order_id': 'o_00025', 'customer_id': 'u_3802013660', 'product_id': '1626979', 'create_time': '2023-11-26 17:54:32'}
{'order_id': 'o_00026', 'customer_id': 'u_3802013660', 'product_id': '1094413', 'create_time': '2023-08-08 08:03:22'}
{'order_id': 'o_00027', 'customer_id': 'u_3802013660', 'product_id': '971782', 'create_time': '2023-08-02 02:02:15'}
{'order_id': 'o_00028', 'customer_id': 'u_3802013660', 'product_id': '1356833', 'create_time': '2023-12-20 11:24:07'}
{'order_id': 'o_00029', 'customer_id': 'u_3802013660', 'product_id': '1397922', 'create_time': '2023-04-18 07:18:01'}
{'order_id': 'o_00030', 'customer_id': 'u_3802013660', 'product_id': '1205604', 'create_time': '2023-11-02 23:28:42'}
{'order_id': 'o_00031', 'customer_id': 'u_3802013660', 'product_id': '1612455', 'create_time': '2023-02-22 07:25:33'}
{'order_id': 'o_00032', 'customer_id': 'u_3802013660', 'product_id': '1464256', 'create_time': '2023-04-25 21:43:23'}
{'order_id': 'o_00033', 'customer_id': 'u_3802013660', 'product_id': '1339948', 'create_time': '2023-01-28 18:21:46'}
{'order_id': 'o_00034', 'customer_id': 'u_3802013660', 'product_id': '1406178', 'create_time': '2023-11-23 10:20:55'}
{'order_id': 'o_00035', 'customer_id': 'u_3802013660', 'product_id': '1459933', 'create_time': '2023-01-05 08:01:48'}
{'order_id': 'o_00036', 'customer_id': 'u_3802013660', 'product_id': '1417265', 'create_time': '2023-09-05 05:34:19'}
{'order_id': 'o_00037', 'customer_id': 'u_3802013660', 'product_id': '1520103', 'create_time': '2023-02-01 14:29:09'}
{'order_id': 'o_00038', 'customer_id': 'u_3802013660', 'product_id': '1705785', 'create_time': '2023-10-27 04:18:42'}
{'order_id': 'o_00039', 'customer_id': 'u_3802013660', 'product_id': '1351636', 'create_time': '2023-11-24 21:16:21'}
{'order_id': 'o_00040', 'customer_id': 'u_3802013660', 'product_id': '1283924', 'create_time': '2023-07-25 12:59:34'}
{'order_id': 'o_00041', 'customer_id': 'u_3802013660', 'product_id': '1340434', 'create_time': '2023-04-15 07:15:43'}
{'order_id': 'o_00042', 'customer_id': 'u_3802013660', 'product_id': '1371027', 'create_time': '2023-09-19 05:00:15'}
{'order_id': 'o_00043', 'customer_id': 'u_3802013660', 'product_id': '1049739', 'create_time': '2023-06-09 17:41:29'}
{'order_id': 'o_00044', 'customer_id': 'u_3802013660', 'product_id': '1233618', 'create_time': '2023-10-13 16:46:26'}
{'order_id': 'o_00045', 'customer_id': 'u_3802013660', 'product_id': '1134445', 'create_time': '2023-12-26 02:22:50'}
{'order_id': 'o_00046', 'customer_id': 'u_3802013660', 'product_id': '1698528', 'create_time': '2023-05-24 05:37:46'}
{'order_id': 'o_00047', 'customer_id': 'u_3802013660', 'product_id': '1689187', 'create_time': '2023-02-17 04:06:14'}
{'order_id': 'o_00048', 'customer_id': 'u_3802013660', 'product_id': '1670413', 'create_time': '2023-07-05 12:04:12'}
{'order_id': 'o_00049', 'customer_id': 'u_3802013660', 'product_id': '1558828', 'create_time': '2023-02-13 04:51:00'}
{'order_id': 'o_00050', 'customer_id': 'u_3802013660', 'product_id': '1314860', 'create_time': '2023-10-26 03:30:50'}
{'order_id': 'o_00051', 'customer_id': 'u_3802013660', 'product_id': '1274895', 'create_time': '2023-09-13 10:19:42'}
{'order_id': 'o_00052', 'customer_id': 'u_3802013660', 'product_id': '1241281', 'create_time': '2023-04-19 02:39:35'}
{'order_id': 'o_00053', 'customer_id': 'u_3802013660', 'product_id': '1592615', 'create_time': '2023-02-10 07:40:22'}
{'order_id': 'o_00054', 'customer_id': 'u_3802013660', 'product_id': '1404063', 'create_time': '2023-08-15 12:37:37'}
{'order_id': 'o_00055', 'customer_id': 'u_3802013660', 'product_id': '1481423', 'create_time': '2023-08-14 11:40:37'}
